"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Tommy Hunter","NYM","34","1","1","0","0","0","1.000","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2.6","","100.0%","100.0%","","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","99.7","8.8","0.0%","99.7","100.0%","0.0%","0.0%","1157"
"Daniel Bard","COL","36","1","1","0","0","0","1.000","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2.6","50.0%","","50.0%","100.0%","","100.0%","","","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","99.9","10.7","0.0%","99.9","100.0%","0.0%","0.0%","7115"
"Connor Overton","- - -","27","1","1","0","2","0","1.000","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","2.6","50.0%","0.0%","33.3%","100.0%","","100.0%","33.3%","100.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","66.8","52.2","0.0%","66.8","0.0%","66.7%","66.7%","18376"
"Jose Quintana","- - -","32","1","0","0","0","0","1.000","50.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.1","20.0%","66.7%","45.5%","100.0%","100.0%","100.0%","54.5%","100.0%","0.0%","0.0%","0.0%","100.0%","0.0%","100.0%","0.0%","50.0%","76.2","3.9","0.0%","76.2","0.0%","18.2%","18.2%","11423"
"Josh Lowe","TBR","23","1","0","0","0","1","1.000","50.0%","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","0.0%","5.0","14.3%","100.0%","45.5%","100.0%","50.0%","60.0%","36.4%","","18.2%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","50.0%","43.3","-62.7","0.0%","43.3","0.0%","0.0%","18.2%","19953"
"Sean Reid-Foley","NYM","25","0","0","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","0.0%","0.0%","","","","20.0%","","0.0%","","","","","","","100.0%","","","","","","20.0%","20.0%","17034"
"Austin Davis","- - -","28","0","0","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","","0.0%","","","","","","0.0%","","","","","","","100.0%","","","","","","0.0%","0.0%","17117"
"Jake Brentz","KCR","26","0","0","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","75.0%","37.5%","","100.0%","100.0%","50.0%","","0.0%","","","","","","","100.0%","","","","","","12.5%","12.5%","17783"
"Trevor Richards","- - -","28","0","1","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2.6","0.0%","0.0%","0.0%","","","","33.3%","","0.0%","","","","","","","100.0%","","","","","","33.3%","33.3%","19309"
"Mario Feliciano","MIL","22","0","1","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2.6","20.0%","100.0%","42.9%","100.0%","50.0%","66.7%","28.6%","","14.3%","","","","","","","100.0%","","","","","","0.0%","14.3%","20263"
"Justin Bruihl","LAD","24","0","0","0","0","0",".000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","","0.0%","","","","","","0.0%","","","","","","","100.0%","","","","","","20.0%","20.0%","23779"
"Daniel Camarena","SDP","28","3","1","1","4","0",".333","0.0%","66.7%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.1","33.3%","50.0%","40.0%","66.7%","33.3%","50.0%","40.0%","66.7%","20.0%","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","107.2","22.5","100.0%","107.2","100.0%","20.0%","40.0%","14467"
"Jakson Reetz","WSN","25","2","1","0","0","0",".500","0.0%","0.0%","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","2.6","100.0%","50.0%","60.0%","100.0%","100.0%","100.0%","80.0%","100.0%","0.0%","0.0%","50.0%","50.0%","0.0%","50.0%","50.0%","0.0%","96.6","22.2","0.0%","104.8","50.0%","40.0%","40.0%","17837"
"Garrett Cleavinger","LAD","27","2","0","0","0","0",".500","0.0%","33.3%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","42.9%","33.3%","","100.0%","100.0%","77.8%","66.7%","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","0.0%","33.3%","91.4","15.7","0.0%","91.4","0.0%","44.4%","44.4%","17897"
"Ali Sanchez","STL","24","4","0","0","0","0",".500","0.0%","0.0%","50.0%","25.0%","25.0%","0.0%","0.0%","0.0%","0.1","50.0%","71.4%","66.7%","100.0%","100.0%","100.0%","77.8%","100.0%","0.0%","100.0%","0.0%","0.0%","25.0%","0.0%","75.0%","0.0%","91.2","-7.3","0.0%","104.5","75.0%","22.2%","22.2%","18551"
"Seth Beer","ARI","24","9","4","1","3","0",".444","10.0%","30.0%","50.0%","0.0%","50.0%","0.0%","0.0%","0.0%","2.6","42.9%","80.0%","58.3%","66.7%","91.7%","81.0%","41.7%","80.0%","11.1%","50.0%","33.3%","16.7%","16.7%","33.3%","50.0%","50.0%","88.5","22.3","0.0%","102.5","50.0%","8.3%","19.4%","20493"
"Humberto Castellanos","ARI","23","6","1","1","5","0",".500","0.0%","14.3%","16.7%","50.0%","33.3%","0.0%","0.0%","0.0%","0.1","66.7%","66.7%","66.7%","50.0%","100.0%","87.5%","75.0%","100.0%","8.3%","16.7%","50.0%","33.3%","33.3%","16.7%","50.0%","28.6%","81.9","6.5","16.7%","99.2","50.0%","33.3%","41.7%","21183"
"Austin Voth","WSN","29","2","1","0","0","0",".500","0.0%","33.3%","0.0%","100.0%","0.0%","0.0%","100.0%","0.0%","2.6","16.7%","50.0%","35.7%","100.0%","100.0%","100.0%","57.1%","33.3%","0.0%","0.0%","0.0%","100.0%","0.0%","100.0%","0.0%","33.3%","72.6","3.1","0.0%","72.6","0.0%","28.6%","28.6%","15047"
"Sean Manaea","OAK","29","4","0","0","0","0",".500","0.0%","20.0%","50.0%","50.0%","0.0%","0.0%","100.0%","0.0%","0.1","20.0%","50.0%","33.3%","100.0%","100.0%","100.0%","44.4%","100.0%","0.0%","25.0%","25.0%","50.0%","25.0%","50.0%","25.0%","20.0%","90.9","-21.3","0.0%","96.1","25.0%","33.3%","33.3%","15873"
"Trayce Thompson","CHC","30","28","6","4","9","2",".250","20.0%","31.4%","17.6%","35.3%","47.1%","0.0%","0.0%","0.0%","4.8","21.2%","63.9%","37.5%","61.9%","79.5%","73.3%","38.1%","45.7%","10.0%","70.6%","11.8%","17.6%","11.8%","29.4%","58.8%","62.9%","92.3","16.9","35.3%","109.7","58.8%","17.5%","27.5%","9952"
"Tyler Nevin","BAL","24","14","3","1","3","0",".286","22.2%","27.8%","0.0%","22.2%","77.8%","0.0%","0.0%","0.0%","1.3","25.5%","57.1%","36.1%","64.3%","87.5%","76.7%","33.7%","50.0%","8.4%","55.6%","11.1%","33.3%","11.1%","66.7%","22.2%","55.6%","93.5","33.8","11.1%","108.5","33.3%","20.5%","28.9%","17893"
"Mike Trout","LAA","29","117","23","8","18","2",".333","18.5%","28.1%","23.7%","42.1%","34.2%","7.7%","9.4%","0.0%","5.1","22.1%","63.4%","39.5%","61.5%","79.1%","73.4%","42.1%","56.2%","10.5%","48.7%","38.2%","13.2%","13.2%","48.7%","38.2%","52.1%","91.9","12.9","18.4%","115.5","52.6%","17.4%","27.9%","10155"
"Justus Sheffield","SEA","25","2","0","0","0","0",".500","0.0%","50.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","33.3%","100.0%","60.0%","0.0%","100.0%","66.7%","40.0%","100.0%","20.0%","0.0%","100.0%","0.0%","100.0%","0.0%","0.0%","50.0%","98.0","13.0","0.0%","98.0","100.0%","40.0%","60.0%","17285"
"Jordan Yamamoto","NYM","25","2","0","0","0","0",".500","0.0%","50.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","50.0%","25.0%","33.3%","0.0%","100.0%","50.0%","66.7%","100.0%","16.7%","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","50.0%","101.8","10.5","0.0%","101.8","100.0%","50.0%","66.7%","17585"
"Triston McKenzie","CLE","23","2","0","0","0","0",".500","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.1","0.0%","66.7%","33.3%","","100.0%","100.0%","50.0%","50.0%","0.0%","0.0%","0.0%","100.0%","0.0%","100.0%","0.0%","0.0%","95.0","-6.3","0.0%","100.0","50.0%","33.3%","33.3%","18000"
"Cal Quantrill","CLE","26","2","0","0","0","0",".500","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","50.0%","0.0%","0.1","14.3%","50.0%","30.8%","100.0%","100.0%","100.0%","46.2%","100.0%","0.0%","50.0%","0.0%","50.0%","0.0%","100.0%","0.0%","0.0%","87.5","-25.0","0.0%","88.5","0.0%","30.8%","30.8%","19312"
"Garrett Whitlock","BOS","25","2","0","0","0","0",".500","0.0%","50.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1","","40.0%","40.0%","","50.0%","50.0%","100.0%","100.0%","20.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","50.0%","80.2","15.7","0.0%","80.2","0.0%","40.0%","60.0%","20191"
"Bailey Ober","MIN","25","2","0","0","0","0",".500","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.1","20.0%","50.0%","33.3%","0.0%","100.0%","66.7%","44.4%","50.0%","11.1%","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","0.0%","83.7","-14.1","0.0%","94.1","0.0%","22.2%","33.3%","21224"
"Bryce Harper","PHI","28","488","101","35","84","13",".309","16.7%","22.4%","21.9%","40.7%","37.3%","6.9%","6.3%","44.4%","4.3","29.4%","74.5%","47.2%","54.2%","78.9%","69.5%","39.4%","55.3%","14.4%","38.1%","34.4%","27.5%","12.8%","43.9%","43.3%","44.9%","92.5","13.3","18.1%","116.3","49.2%","11.9%","26.3%","11579"
"Chris Owings","COL","29","43","9","1","5","2",".326","14.0%","30.0%","17.9%","39.3%","42.9%","8.3%","27.3%","0.0%","7.2","27.4%","71.6%","45.9%","45.2%","72.4%","62.9%","41.8%","58.0%","17.0%","50.0%","25.0%","25.0%","10.7%","50.0%","39.3%","46.0%","90.7","13.8","14.3%","107.0","42.9%","17.5%","34.5%","10030"
"Nick Fortes","MIA","24","31","6","4","7","1",".290","8.8%","23.5%","13.0%","30.4%","56.5%","15.4%","0.0%","0.0%","4.4","29.7%","59.3%","42.9%","63.6%","94.3%","82.5%","44.4%","67.6%","7.5%","47.8%","34.8%","17.4%","30.4%","17.4%","52.2%","44.1%","91.3","24.0","21.7%","107.5","52.2%","21.8%","29.3%","21538"
"Estevan Florial","NYY","23","20","3","1","2","1",".300","20.0%","24.0%","7.1%","50.0%","42.9%","0.0%","28.6%","0.0%","4.2","27.5%","73.2%","44.5%","52.6%","76.7%","67.3%","37.3%","52.0%","14.5%","42.9%","35.7%","21.4%","21.4%","42.9%","35.7%","48.0%","89.3","5.3","7.1%","102.3","64.3%","12.7%","27.3%","19151"
"Juan Soto","WSN","22","502","111","29","95","9",".313","22.2%","14.2%","18.6%","52.7%","28.7%","6.7%","6.0%","0.0%","3.5","15.1%","62.8%","35.0%","62.6%","88.7%","82.1%","41.6%","53.7%","6.3%","31.2%","43.5%","25.4%","15.9%","44.9%","39.1%","40.8%","93.0","5.8","13.3%","116.6","52.4%","20.0%","26.3%","20123"
"Vladimir Guerrero Jr.","TOR","22","604","123","48","111","4",".311","12.3%","15.8%","18.8%","44.8%","36.5%","7.7%","5.9%","0.0%","3.1","28.3%","76.1%","47.3%","55.8%","84.0%","73.9%","39.7%","62.8%","12.4%","39.9%","35.5%","24.6%","10.7%","47.6%","41.7%","35.0%","95.1","9.4","15.1%","117.4","55.2%","12.7%","25.0%","19611"
"Byron Buxton","MIN","27","235","50","19","32","9",".306","5.1%","24.4%","21.5%","40.1%","38.4%","4.5%","10.1%","0.0%","6.0","34.5%","80.0%","53.0%","60.0%","79.7%","72.0%","40.5%","65.4%","14.8%","53.8%","26.6%","19.7%","13.9%","43.4%","42.8%","37.0%","92.5","13.3","17.9%","115.6","53.2%","12.3%","27.1%","14161"
"Oneil Cruz","PIT","22","9","2","1","3","0",".333","0.0%","44.4%","20.0%","60.0%","20.0%","0.0%","0.0%","0.0%","2.6","50.0%","38.5%","45.5%","30.0%","80.0%","46.7%","39.4%","77.8%","24.2%","80.0%","20.0%","0.0%","0.0%","20.0%","80.0%","55.6%","100.5","4.6","40.0%","118.2","80.0%","24.2%","48.5%","21711"
"Luis Gonzalez","CHW","25","8","2","0","0","0",".250","27.3%","18.2%","16.7%","33.3%","50.0%","0.0%","0.0%","0.0%","2.0","22.6%","68.4%","40.0%","71.4%","84.6%","80.0%","38.0%","54.5%","8.0%","33.3%","50.0%","16.7%","0.0%","50.0%","50.0%","45.5%","86.9","16.1","0.0%","101.2","50.0%","16.0%","24.0%","20332"
"Jake Faria","ARI","27","3","1","0","0","0",".333","0.0%","33.3%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","2.6","16.7%","50.0%","35.7%","0.0%","100.0%","80.0%","57.1%","66.7%","7.1%","50.0%","50.0%","0.0%","0.0%","50.0%","50.0%","33.3%","95.7","-1.7","0.0%","100.8","50.0%","42.9%","50.0%","13699"
"Justin Dunn","SEA","25","3","0","0","1","0",".333","0.0%","66.7%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.1","12.5%","20.0%","15.4%","100.0%","0.0%","50.0%","38.5%","66.7%","7.7%","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","66.7%","95.1","27.3","0.0%","95.1","100.0%","38.5%","46.2%","19268"
"Kyle Wright","ATL","25","3","1","0","0","0",".333","0.0%","33.3%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","2.6","16.7%","40.0%","27.3%","0.0%","100.0%","66.7%","45.5%","100.0%","9.1%","50.0%","50.0%","0.0%","0.0%","50.0%","50.0%","33.3%","102.5","-0.4","0.0%","103.5","100.0%","36.4%","45.5%","19665"
