Name,Team,G,playerid
Joe Dunand,MIA,3,19727
Manny Machado,SDP,150,11493
Nolan Arenado,STL,148,9777
Austin Riley,ATL,159,18360
Rafael Devers,BOS,141,17350
Yandy Diaz,TBR,137,16578
Jose Ramirez,CLE,157,13510
Alex Bregman,HOU,155,17678
Brandon Drury,- - -,138,11615
Jason Vosler,SFG,36,16686
Eugenio Suarez,SEA,150,12552
David Villar,SFG,52,24782
Gunnar Henderson,BAL,34,26289
Justin Turner,LAD,128,5235
Mike Brosseau,MIL,70,19683
J.D. Davis,- - -,115,16219
Gio Urshela,MIN,144,10681
Matt Chapman,TOR,155,16505
Evan Longoria,SFG,89,9368
DJ LeMahieu,NYY,125,9874
Jose Miranda,MIN,125,20538
Luis Urias,MIL,119,16622
Jake Burger,CHW,51,22275
Josh Rojas,ARI,125,19734
Ryan McMahon,COL,153,15112
David Bote,CHC,41,14593
Isaac Paredes,TBR,111,20036
Charles Leblanc,MIA,48,19813
Max Muncy,LAD,136,13301
Patrick Wisdom,CHC,134,13602
Rodolfo Castro,PIT,71,21987
Anthony Rendon,LAA,47,12861
Nate Eaton,KCR,44,25055
Ramon Urias,BAL,118,18795
Eduardo Escobar,NYM,136,6153
Bobby Witt Jr.,KCR,150,25764
Alec Bohm,PHI,152,21618
Emmanuel Rivera,- - -,102,19890
Jace Peterson,MIL,113,12325
Elehuris Montero,COL,53,20543
Ildemaro Vargas,- - -,63,13324
Josh Donaldson,NYY,132,5038
Colin Moran,CIN,42,16909
Jon Berti,MIA,102,12037
Ke'Bryan Hayes,PIT,136,18577
Gabriel Arias,CLE,16,22563
Brian Anderson,MIA,98,18289
Joey Wendle,MIA,101,13853
Spencer Steer,CIN,28,26323
Mike Moustakas,CIN,78,4892
Yairo Munoz,PHI,29,16313
Ezequiel Duran,TEX,58,23733
Edmundo Sosa,- - -,78,17022
Hoy Park,PIT,23,18027
Charlie Culberson,TEX,70,3298
Josh Jung,TEX,26,26299
Zach McKinstry,- - -,57,19392
Matt Duffy,LAA,77,13836
Jordan Groshans,MIA,17,23794
Jeimer Candelario,DET,124,13621
Yoan Moncada,CHW,104,17232
Tyler Freeman,CLE,24,22532
Sergio Alcantara,- - -,93,16417
Vimael Machin,OAK,73,17684
Luke Williams,- - -,79,19931
Pablo Reyes,MIL,6,16357
Brad Miller,TEX,81,12775
Eguy Rosario,SDP,7,19964
Josh Smith,TEX,73,26396
Maikel Franco,WSN,103,12179
Tyler Nevin,BAL,58,17893
Brett Baty,NYM,11,26123
Jonah Bride,OAK,58,24703
Sheldon Neuse,OAK,89,19635
Jonathan Villar,- - -,59,10071
Andy Ibanez,TEX,40,18819
Abraham Toro,SEA,109,19844
Willians Astudillo,MIA,21,15608
Matt Davidson,- - -,13,7226
Erik Gonzalez,MIA,16,13369
Kevin Smith,OAK,47,20242
Jack Mayfield,LAA,23,15402
Brendon Davis,DET,3,18587
Ehire Adrianza,- - -,37,8418
JT Riddle,CIN,2,17642
Kody Clemens,DET,57,20572
Drew Ellis,- - -,7,19873
Ryan Kreidler,DET,26,25867
Brandon Dixon,SDP,5,15214
Ernie Clement,- - -,70,20352
Kelvin Gutierrez,BAL,12,17468
Matthew Batten,SDP,15,20157
Jeter Downs,BOS,14,22202
David MacKinnon,- - -,22,19625
Rylan Bannon,- - -,5,19768
Phil Gosselin,- - -,34,10953
Jonathan Arauz,- - -,15,20275
Taylor Motter,CIN,2,12399
Eddy Alvarez,LAD,14,16959
Kevin Padlo,- - -,13,16593
Jose Rojas,LAA,22,19331
Yonny Hernandez,ARI,12,19432
Lucius Fox,WSN,10,18899
Cory Spangenberg,STL,1,12294
Deven Marrero,NYM,5,13325
Josh Lester,DET,2,17737
Drew Jackson,OAK,3,17807
Joe Perez,HOU,1,22254
