Name,Team,G,playerid
Chadwick Tromp,ATL,1,16953
Rob Brantly,NYY,1,10655
Tom Murphy,SEA,14,13499
Brian O'Keefe,SEA,2,16680
Tyler Stephenson,CIN,50,17988
William Contreras,ATL,97,20503
Danny Jansen,TOR,72,16535
Willson Contreras,CHC,113,11609
Garrett Stubbs,PHI,50,18067
J.T. Realmuto,PHI,139,11739
Adley Rutschman,BAL,113,26288
Will Smith,LAD,137,19197
Alejandro Kirk,TOR,139,22581
Travis d'Arnaud,ATL,107,7739
Dustin Garneau,DET,8,9433
Francisco Alvarez,NYM,5,26121
Sean Murphy,OAK,148,19352
Cal Raleigh,SEA,119,21534
Gabriel Moreno,TOR,25,22664
Salvador Perez,KCR,114,7304
Seby Zavala,CHW,61,18887
Eric Haase,DET,110,14111
Austin Barnes,LAD,62,12158
Roberto Perez,PIT,21,2900
Mario Feliciano,MIL,2,20263
Christian Vazquez,- - -,119,9774
MJ Melendez,KCR,129,22197
Mitch Garver,TEX,54,15161
Nick Fortes,MIA,72,21538
Logan O'Hoppe,LAA,5,24729
P.J. Higgins,CHC,74,18433
Jonah Heim,TEX,127,16930
Pedro Severino,MIL,8,14523
Christian Bethancourt,- - -,101,10028
Keibert Ruiz,WSN,112,19610
Austin Wynns,SFG,66,15271
Reese McGuire,- - -,89,15674
Sam Huff,TEX,44,22209
Shea Langeliers,OAK,40,25816
Curt Casali,- - -,57,12510
Joey Bart,SFG,97,21524
Mark Kolozsvary,CIN,10,21304
Jose Trevino,NYY,115,16725
Jorge Alfaro,SDP,82,12180
Gary Sanchez,MIN,128,11442
Austin Nola,SDP,110,15941
Victor Caratini,MIL,96,14968
Ryan Jeffers,MIN,67,24618
Matt Thaiss,LAA,29,19318
Elias Diaz,COL,105,11680
Grayson Greiner,ARI,2,17062
Kyle Higashioka,NYY,83,5517
Luke Maile,CLE,76,13355
Francisco Mejia,TBR,93,16403
Andrew Knizner,STL,97,19514
Carson Kelly,ARI,104,13620
Yan Gomes,CHC,86,9627
Omar Narvaez,MIL,84,13338
Jacob Stallings,MIA,114,13723
Tomas Nido,NYM,98,13755
Cam Gallagher,KCR,18,12981
Martin Maldonado,HOU,113,6887
Yasmani Grandal,CHW,99,11368
Brian Serven,COL,62,19422
Connor Wong,BOS,27,19896
Cooper Hummel,ARI,66,19458
Luis Torrens,SEA,57,15905
Kevin Plawecki,- - -,64,13807
Max Stassi,LAA,102,10059
Luis Campusano,SDP,16,22217
Meibrys Viloria,TEX,26,17109
Kurt Suzuki,LAA,51,8259
Tucker Barnhart,DET,94,10200
Robinson Chirinos,BAL,67,3142
Stephen Vogt,OAK,70,5000
Riley Adams,WSN,48,19864
Rene Pinto,TBR,25,19859
Tyler Heineman,- - -,62,13897
Sandy Leon,- - -,34,5273
Zack Collins,- - -,36,19181
James McCann,NYM,61,12859
Jason Delay,PIT,57,19806
Payton Henry,MIA,15,22164
Carlos Perez,CHW,7,20805
Yadier Molina,STL,80,7007
Michael Perez,- - -,45,12977
Aramis Garcia,CIN,47,16925
Austin Hedges,CLE,105,12976
Chad Wallach,LAA,12,17161
Patrick Mazeika,NYM,24,18142
Alex Jackson,MIL,5,17276
Caleb Hamilton,MIN,22,19842
Mike Zunino,TBR,36,13265
Yainer Diaz,HOU,6,23003
Jose Herrera,ARI,47,17040
Michael Papierski,- - -,39,21386
Bryan Lavastida,CLE,6,24765
Dom Nunez,COL,14,15055
Anthony Bemboom,BAL,22,13854
Andrew Knapp,- - -,16,14942
Austin Romine,- - -,51,5491
Korey Lee,HOU,12,25543
Chris Okey,CIN,7,19245
Manny Pina,ATL,5,2829
Tres Barrera,WSN,19,19977
Jason Castro,HOU,34,8722
Sebastian Rivero,KCR,17,21735
Chuckie Robinson,CIN,25,19824
Donny Sands,PHI,3,18603
Ivan Herrera,STL,11,20599
Austin Allen,OAK,5,18083
Israel Pineda,WSN,4,22906
Jose Godoy,- - -,10,15808
Tony Wolters,LAD,2,11470
Freddy Fermin,KCR,3,21840
Bo Naylor,CLE,5,21865
