Name,Team,G,playerid
Khalil Lee,NYM,2,19952
James Outman,LAD,4,24770
Matt Carpenter,NYY,47,8090
Aaron Judge,NYY,157,15640
Dalton Guthrie,PHI,14,21293
Yordan Alvarez,HOU,135,19556
Mike Trout,LAA,119,10155
Sean Bouchard,COL,27,21270
Joey Meneses,WSN,56,14366
Will Brennan,CLE,11,25660
Canaan Smith-Njigba,PIT,3,23264
Rob Refsnyder,BOS,57,13770
Juan Soto,- - -,153,20123
Mookie Betts,LAD,142,13611
Joc Pederson,SFG,134,11899
Austin Dean,SFG,3,18288
Conner Capel,- - -,22,19983
Trayce Thompson,- - -,80,9952
Eloy Jimenez,CHW,84,17484
Kris Bryant,COL,42,15429
Ji Hwan Bae,PIT,10,23818
Michael Harris II,ATL,114,25931
Julio Rodriguez,SEA,132,23697
Jeff McNeil,NYM,148,15362
Garrett Mitchell,MIL,28,27555
Nick Maton,PHI,35,21635
Taylor Ward,LAA,135,17548
Monte Harrison,LAA,9,17216
Stone Garrett,ARI,27,19273
Corbin Carroll,ARI,32,25878
Byron Buxton,MIN,92,14161
Starling Marte,NYM,118,9241
Kyle Schwarber,PHI,155,16478
Brandon Nimmo,NYM,151,12927
Jaylin Davis,BOS,12,19552
George Springer,TOR,133,12856
Jake Fraley,CIN,68,19260
Stuart Fairchild,- - -,46,20321
Bryan Reynolds,PIT,145,19326
Brendan Donovan,STL,126,24679
Teoscar Hernandez,TOR,131,13066
Kyle Tucker,HOU,150,18345
Drew Waters,KCR,32,20505
Hunter Renfroe,MIL,125,15464
Michael Brantley,HOU,64,4106
Austin Slater,SFG,125,16153
Mark Canha,NYM,140,11445
Lars Nootbaar,STL,108,21454
Andrew Benintendi,- - -,126,17901
Kerry Carpenter,DET,31,25961
Steven Kwan,CLE,147,24610
Oscar Gonzalez,CLE,91,20970
Ian Happ,CHC,158,17919
Dylan Moore,SEA,104,18042
Jake McCarthy,ARI,99,21622
Anthony Santander,BAL,152,14551
Randy Arozarena,TBR,153,19290
Ronald Acuna Jr.,ATL,119,18401
Seiya Suzuki,CHC,111,30116
Alex Call,- - -,47,19296
Christian Yelich,MIL,154,11477
Harold Ramirez,TBR,120,14387
Giancarlo Stanton,NYY,110,4949
Lourdes Gurriel Jr.,TOR,121,19238
