Name,Team,G,playerid
Evan Phillips,LAD,64,17734
Tommy Hunter,NYM,18,1157
Matt Bush,- - -,65,1246
Adam Ottavino,NYM,66,1247
Oliver Perez,ARI,7,1514
Sean Doolittle,WSN,6,1581
Matt Moore,TEX,63,1890
Zack Greinke,KCR,26,1943
Clayton Kershaw,LAD,22,2036
Adam Wainwright,STL,32,2233
Corey Kluber,TBR,31,2429
Lance Lynn,CHW,21,2520
Jhoulys Chacin,COL,35,2608
Ross Detwiler,CIN,30,2859
Kenley Jansen,ATL,65,3096
Max Scherzer,NYM,23,3137
David Price,LAD,40,3184
T.J. McFarland,STL,28,3237
Zack Britton,NYY,3,3240
Joe Smith,MIN,34,3281
Anibal Sanchez,WSN,14,3284
Darren O'Day,ATL,28,3321
Liam Hendriks,CHW,58,3548
Mark Melancon,ARI,62,4264
Justin Wilson,CIN,5,4301
Charlie Morton,ATL,31,4676
Rich Hill,BOS,26,4806
Jake Diekman,- - -,70,5003
Anthony Gose,CLE,22,5097
Jeurys Familia,- - -,48,5114
Jose Alvarez,SFG,21,5358
Manny Banuelos,- - -,35,5365
Michael Pineda,DET,11,5372
Pedro Baez,HOU,3,5420
Jesse Chavez,- - -,60,5448
Arodys Vizcaino,KCR,7,5498
Madison Bumgarner,ARI,30,5524
Ryan Brasier,BOS,68,5615
Tyler Clippard,WSN,4,5640
Huascar Brazoban,MIA,27,6107
David Phelps,TOR,65,6316
Chris Archer,MIN,25,6345
Jake Odorizzi,- - -,22,6397
Trevor May,NYM,26,6398
Jose Cisnero,DET,28,6399
Steve Cishek,WSN,69,6483
Alex Cobb,SFG,28,6562
Carlos Carrasco,NYM,29,6632
Craig Kimbrel,LAD,63,6655
Alex Colome,COL,53,6661
Johnny Cueto,CHW,25,6893
Chase Anderson,CIN,9,6895
Martin Perez,TEX,32,6902
Luis Garcia,SDP,64,6984
Ian Kennedy,ARI,57,6986
Ryan Pressly,HOU,50,7005
Fernando Cruz,CIN,14,7048
Daniel Bard,COL,57,7115
Daniel Hudson,LAD,25,7146
Greg Holland,TEX,5,7196
Craig Stammen,SDP,33,7274
Jay Jackson,ATL,2,7432
Collin McHugh,ATL,58,7531
Jake McGee,- - -,42,7550
Jordan Lyles,BAL,32,7593
Tommy Milone,SEA,7,7608
Wily Peralta,DET,28,7738
Richard Bleier,MIA,55,7803
Hunter Strickland,CIN,66,7836
Anthony Bass,- - -,74,7982
Will Smith,- - -,65,8048
Bryan Shaw,CLE,60,8110
David Robertson,- - -,58,8241
Paolo Espino,WSN,42,8246
Lucas Luetge,NYY,50,8337
Justin Verlander,HOU,28,8700
Wade Miley,CHC,9,8779
Cesar Valdez,LAA,1,9013
Kirby Yates,ATL,9,9073
Brad Hand,PHI,55,9111
Nathan Eovaldi,BOS,20,9132
