Name,Team,G,playerid
Otto Lopez,TOR,8,19608
Livan Soto,LAA,18,22471
Liover Peguero,PIT,1,24273
Oswald Peraza,NYY,18,22823
Royce Lewis,MIN,12,20437
Xander Bogaerts,BOS,150,12161
Carlos Correa,MIN,136,14162
Trea Turner,LAD,160,16252
Bo Bichette,TOR,159,19612
Danny Mendick,CHW,31,18889
Francisco Lindor,NYM,161,12916
Dansby Swanson,ATL,162,18314
Corey Seager,TEX,151,13624
Willy Adames,MIL,139,15986
Wander Franco,TBR,83,23667
Tim Anderson,CHW,79,15172
Alan Trejo,COL,35,20056
Oneil Cruz,PIT,87,21711
Nico Hoerner,CHC,135,21479
Tommy Edman,STL,153,19470
Maikel Garcia,KCR,9,22715
Ha-seong Kim,SDP,150,27506
Jose Iglesias,COL,118,10231
Amed Rosario,CLE,153,15518
Bobby Witt Jr.,KCR,150,25764
Elvis Andrus,- - -,149,8709
Jeremy Pena,HOU,136,21636
Kyle Farmer,CIN,145,14813
J.P. Crawford,SEA,145,15491
Luis Garcia,WSN,93,20391
Kevin Newman,PIT,78,17696
Nick Ahmed,ARI,17,12147
Javier Baez,DET,144,12979
Bryson Stott,PHI,127,26294
Brandon Crawford,SFG,118,5343
Joey Wendle,MIA,101,13853
Dee Strange-Gordon,WSN,23,8203
Isiah Kiner-Falefa,NYY,142,16512
Edmundo Sosa,- - -,78,17022
Jorge Mateo,BAL,150,17273
Johan Camargo,PHI,52,14950
David Fletcher,LAA,61,17992
Tyler Freeman,CLE,24,22532
Diego Castillo,PIT,96,19906
Sergio Alcantara,- - -,93,16417
Miguel Rojas,MIA,140,7802
CJ Abrams,- - -,90,25768
Garrett Hampson,COL,90,19262
Pablo Reyes,MIL,6,16357
Eguy Rosario,SDP,7,19964
Ezequiel Tovar,COL,9,24064
Geraldo Perdomo,ARI,148,22799
Taylor Walls,TBR,142,22458
Didi Gregorius,PHI,63,6012
Nicky Lopez,KCR,142,19339
Tyler Wade,LAA,67,15730
Nick Allen,OAK,100,22277
Alcides Escobar,WSN,42,6310
Paul DeJong,STL,77,18015
Dixon Machado,SFG,5,11472
Andrew Velazquez,LAA,125,14196
Erik Gonzalez,MIA,16,13369
Ryan Kreidler,DET,26,25867
Donovan Walton,- - -,25,19314
Chris Owings,BAL,27,10030
Andrelton Simmons,CHC,35,10847
Jermaine Palacios,MIN,30,18371
Jose Barrero,CIN,48,23378
Adalberto Mondesi,KCR,15,13769
Lenyn Sosa,CHW,11,22896
Jonathan Arauz,- - -,15,20275
Zack Short,DET,6,19562
Lucius Fox,WSN,10,18899
Deven Marrero,NYM,5,13325
Wilmer Difo,ARI,3,14320
Kramer Robertson,STL,2,20022
